,0
No Exogenous Model,2.120319877807158
Only Bayram Exog. Model,2.3797070995735057
Only Tatil Exog. Model,2.9072837539131515
Only Haftasonu Exog. Model,2.4143584933367133
No Bayram Exog. Model,2.07088049535149
No Haftasonu Model,2.1721378611093667
No Tatil Model,2.57094895383611
All Including Model,2.13243116073338
