Date,Consumption
2016-01-01,648689.21
2016-01-02,702608.5099999999
2016-01-03,685453.0700000001
2016-01-04,794904.7100000002
2016-01-05,796749.9199999999
2016-01-06,783228.2099999998
2016-01-07,780834.48
2016-01-08,775536.44
2016-01-09,748705.8300000001
2016-01-10,675374.8200000001
2016-01-11,763341.77
2016-01-12,764872.77
2016-01-13,774584.07
2016-01-14,784066.96
2016-01-15,781958.0099999999
2016-01-16,746281.42
2016-01-17,663657.2100000001
2016-01-18,780843.77
2016-01-19,809196.6799999998
2016-01-20,819194.4900000001
2016-01-21,818856.3999999998
2016-01-22,812696.47
2016-01-23,782900.57
2016-01-24,696940.47
2016-01-25,813896.1900000001
2016-01-26,838403.6699999999
2016-01-27,829632.01
2016-01-28,829661.57
2016-01-29,806796.8500000001
2016-01-30,758549.68
2016-01-31,662382.9700000001
2016-02-01,763070.55
2016-02-02,762948.0399999998
2016-02-03,758355.0900000002
2016-02-04,762177.5499999999
2016-02-05,773712.3500000001
2016-02-06,759895.2600000001
2016-02-07,678182.8799999999
2016-02-08,778011.2899999999
2016-02-09,785966.8900000001
2016-02-10,782078.3800000001
2016-02-11,788577.8499999999
2016-02-12,772396.1
2016-02-13,729007.7799999999
2016-02-14,641764.1399999999
2016-02-15,715504.7799999998
2016-02-16,714304.97
2016-02-17,712644.8200000001
2016-02-18,723173.14
2016-02-19,728366.8500000002
2016-02-20,701995.8500000001
2016-02-21,635996.8600000001
2016-02-22,727771.3299999998
2016-02-23,734325.9500000001
2016-02-24,736243.5
2016-02-25,747824.2799999999
2016-02-26,729003.4
2016-02-27,697038.01
2016-02-28,617088.64
2016-02-29,695738.3500000001
2016-03-01,699355.3900000001
2016-03-02,706343.37
2016-03-03,722919.6900000002
2016-03-04,726886.2300000001
2016-03-05,702405.26
2016-03-06,620581.72
2016-03-07,704301.3599999999
2016-03-08,711769.5400000002
2016-03-09,714081.9
2016-03-10,720961.8200000001
2016-03-11,717059.3900000002
2016-03-12,691140.75
2016-03-13,617828.6100000001
2016-03-14,729013.7899999999
2016-03-15,749531.61
2016-03-16,754584.14
2016-03-17,762313.08
2016-03-18,750070.4199999999
2016-03-19,731769.8800000001
2016-03-20,646105.62
2016-03-21,728348.88
2016-03-22,732919.6900000001
2016-03-23,728007.43
2016-03-24,726728.0899999999
2016-03-25,736984.1600000001
2016-03-26,721810.8799999999
2016-03-27,746198.3699999999
2016-03-28,750703.7
2016-03-29,746918.58
2016-03-30,737733.4000000001
2016-03-31,726478.9399999998
2016-04-01,701733.0700000001
2016-04-02,624565.4
2016-04-03,706629.88
2016-04-04,725733.8099999999
2016-04-05,724573.33
2016-04-06,728611.23
2016-04-07,725773.8600000001
2016-04-08,693750.46
2016-04-09,617176.72
2016-04-10,715793.9000000001
2016-04-11,731988.4199999999
2016-04-12,725401.7100000001
2016-04-13,729469.56
2016-04-14,727162.51
2016-04-15,705384.07
2016-04-16,630105.6400000001
2016-04-17,717333.56
2016-04-18,724223.01
2016-04-19,730890.03
2016-04-20,733979.8900000001
2016-04-21,732809.9799999999
2016-04-22,666088.2100000001
2016-04-23,614353.6300000001
2016-04-24,726414.0700000001
2016-04-25,742228.5200000001
2016-04-26,744370.0699999998
2016-04-27,753444.67
2016-04-28,753127.3700000001
2016-04-29,722228.16
2016-04-30,622769.65
2016-05-01,728730.9399999998
2016-05-02,737734.7799999999
2016-05-03,736819.2800000001
2016-05-04,741196.38
2016-05-05,738443.8699999999
2016-05-06,705650.5200000001
2016-05-07,629695.9600000001
2016-05-08,722095.9499999997
2016-05-09,743847.2200000002
2016-05-10,737360.2700000001
2016-05-11,742923.7
2016-05-12,745632.2000000002
2016-05-13,712973.69
2016-05-14,635210.83
2016-05-15,723448.2700000001
2016-05-16,742753.3799999999
2016-05-17,734539.88
2016-05-18,673586.21
2016-05-19,713950.8000000002
2016-05-20,695365.05
2016-05-21,617499.59
2016-05-22,704989.7899999999
2016-05-23,718471.21
