Date,Consumption,Atypical_Day,Religious Holidays,Consumption_t-1,Consumption_t-2,Consumption_t-3,Consumption_t-4,Consumption_t-5,Consumption_t-6,Consumption_t-7,Consumption_t-8,Consumption_t-9,Consumption_t-10,Consumption_t-11,Consumption_t-12,Consumption_t-13,Consumption_t-14
2016-02-01,763070.55,0.0,0.0,662382.9700000001,758549.68,806796.8500000002,829661.57,829632.01,838403.6699999998,813896.1900000002,696940.47,782900.57,812696.47,818856.3999999998,819194.4900000001,809196.6799999998,780843.77
2016-02-02,762948.0399999998,0.0,0.0,763070.55,662382.9700000001,758549.68,806796.8500000002,829661.57,829632.01,838403.6699999998,813896.1900000002,696940.47,782900.57,812696.47,818856.3999999998,819194.4900000001,809196.6799999998
2016-02-03,758355.0900000002,0.0,0.0,762948.0399999998,763070.55,662382.9700000001,758549.68,806796.8500000002,829661.57,829632.01,838403.6699999998,813896.1900000002,696940.47,782900.57,812696.47,818856.3999999998,819194.4900000001
2016-02-04,762177.5499999998,0.0,0.0,758355.0900000002,762948.0399999998,763070.55,662382.9700000001,758549.68,806796.8500000002,829661.57,829632.01,838403.6699999998,813896.1900000002,696940.47,782900.57,812696.47,818856.3999999998
2016-02-05,773712.3500000002,0.0,0.0,762177.5499999998,758355.0900000002,762948.0399999998,763070.55,662382.9700000001,758549.68,806796.8500000002,829661.57,829632.01,838403.6699999998,813896.1900000002,696940.47,782900.57,812696.47
2016-02-06,759895.2600000001,1.0,0.0,773712.3500000002,762177.5499999998,758355.0900000002,762948.0399999998,763070.55,662382.9700000001,758549.68,806796.8500000002,829661.57,829632.01,838403.6699999998,813896.1900000002,696940.47,782900.57
2016-02-07,678182.8799999999,1.0,0.0,759895.2600000001,773712.3500000002,762177.5499999998,758355.0900000002,762948.0399999998,763070.55,662382.9700000001,758549.68,806796.8500000002,829661.57,829632.01,838403.6699999998,813896.1900000002,696940.47
2016-02-08,778011.2899999998,0.0,0.0,678182.8799999999,759895.2600000001,773712.3500000002,762177.5499999998,758355.0900000002,762948.0399999998,763070.55,662382.9700000001,758549.68,806796.8500000002,829661.57,829632.01,838403.6699999998,813896.1900000002
2016-02-09,785966.8900000001,0.0,0.0,778011.2899999998,678182.8799999999,759895.2600000001,773712.3500000002,762177.5499999998,758355.0900000002,762948.0399999998,763070.55,662382.9700000001,758549.68,806796.8500000002,829661.57,829632.01,838403.6699999998
2016-02-10,782078.3800000001,0.0,0.0,785966.8900000001,778011.2899999998,678182.8799999999,759895.2600000001,773712.3500000002,762177.5499999998,758355.0900000002,762948.0399999998,763070.55,662382.9700000001,758549.68,806796.8500000002,829661.57,829632.01
